dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
cra,common-identifier,Identity Solution,"Identity Solution: The intent of this proposal is to develop a common identifier to streamline access for primary account holders and parties acting on their behalf. This includes: authentication, identification, and registration of business processes, IT processes and IT systems and databases.
  
 As of June 9, 2016, no funding was committed for this proposal.",15000000,2021-03-31,8555-421-266,"June 9, 2016",57
cra,iuef,Increased Usage of Electronic Filing,"Increased Usage of Electronic Filing: This project will accelerate the
 electronic filing of the Tl and T2 returns to the levels required to achieve
 program and adm.  inist rative  efficiencies, as a result of legislation introduced
 requiring tax preparers who receive payment to prepare more than ten
 returns to file electronically .",2558000,2017-03-31,8555-421-266,"June 9, 2016",28
cra,diu,InfoDec Data Integrity and Usage,"lnfoDec - Data Integrity and Usage (DIU): The project will increase the
 volume of Information Declaration (lnfoDec) data available on My Account/My Business Account (MyBA), and provide Canadians with more ways to interact with the Canada Revenue Agency (CRA) online for information returns purposes. In addition, the project will enable the
 application of more validations to certain information slips.",6353000,2019-03-31,8555-421-266,"June 9, 2016",29
cra,fev,InfoDec Front End Validations,"lnfodec - Front End Validations: The intent of this proposal is to create a capacity to perform front-end validations on the returns that are captured within InfoDec, which will help support other Agency activities and services, including matching and Auto-Fill My Return. The proposal will build upon the data validation deliverables (though not front end) currently planned under the lnfoDec Data Integrity and Usage project.
  
 As of June 9, 2016, $890 of funding was committed for this proposal.",9740000,2021-03-31,8555-421-266,"June 9, 2016",52
cra,,InfoDec Modernization,"Objective: The objective of this project is to modernize the current system for the capture, processing and assessing of information returns which will enable the housing of more data within the database, including the remaining information slip types not yet in the database.",67489000,2026-03-31,8530-441-13-505,"April 25, 2022",40
cra,,Integras Case Management and Reporting,Objective: The objective of this project is to enhance the existing case management system (Integras) to provide CRA auditors with increased functionality and improved user experience.,14392000,2025-03-31,8530-441-13-505,"April 25, 2022",41
cra,,Internal Multifactor Authentication,Objective: The Internal Multifactor Authentication project will introduce an internal Multi-Factor Authentication (MFA) challenge to users before they gain access to internal CRA information systems and its resources. MFA is an authentication method that requires the user to provide two or more verification factors before gaining access to an application or a system.,17000000,2024-03-31,8530-441-13-505,"April 25, 2022",32
cra,,Interoperability for Digital Services,"Objective: The objective of this project is to deliver a centralized event processing solution to orchestrate different actions based on a set of business rules applied to inbound and outbound events using an interoperability approach, which will facilitate connections between various systems while allowing event data to be stored, evaluated, and queried to improve business intelligence.",8031000,2023-03-31,8530-441-13-505,"April 25, 2022",58
cra,interop,Interoperability for Digital Services,"Interoperability for Digital Services
Objective: to acquire a centralized event processing solution to streamline and improve
the performance and efficiency of external and internal facing applications, and enable sharing of business activity outcomes across different CRA programs.",7506000,2022-03-31,8555-421-2460,"May 1, 2019",142
cra,ksp,Knowledge Sharing Platform for Tax Administrations,"Knowledge Sharing Platform for Tax Administrations
Objective: to develop an end-state knowledge sharing platforrn that will meet global expectations with respect to platform stability, and support future growth and modifications.",5659000,2021-03-31,8555-421-2460,"May 1, 2019",126
cra,mme,Managed Metadata Environment,Managed Metadata Environment (MME): The project will procure a Commercial Off-the-Shelf (COTS) solution to capture both the business and the technical metadata on structured information in a· centralized repository.,3532000,2019-03-31,8555-421-266,"June 9, 2016",14
cra,,Manual T1 (Re)assessment Processing Workflow,Objective: The objective of this project is to improve the processing timeframes on individual tax returns and adjustments by eliminating many of the low-volume and high-cost manual processing workloads.,1717000,2024-03-31,8530-441-13-505,"April 25, 2022",59
cra,ma-2,Mobile Apps Phase 2,"Mobile Apps Phase 2: The project will implement impr9vements to the
 existing CRA mobile app including expanding device functionality and introducing new services to the mobile platform.",1915000,2017-03-31,8555-421-266,"June 9, 2016",30
cra,nats,National Audit Trail System Enterprise Fraud Management,"National Audit Trail System (NATS): The implementation of an Enterprise
 Fraud Management (EFM) to enable the review and analysis of employee
 transactions on CRA applications containing taxpayer data in the production
 environment.",11240000,2018-03-31,8555-421-266,"June 9, 2016",31
cra,,Next 15 Project,"Objective: The objective of this project is to replace the T1 and GST Computer Assisted Audit Selection systems, develop and implement risk algorithms, integrate third party data into the compliance risk assessment and facilitate data-driven decision making to increase the effectiveness of risk identification.",35791000,2025-03-31,8530-441-13-505,"April 25, 2022",42
cra,,Non Resident Tax Account Online,"Objective: The objective of this project is to expand the services provided to clients who withhold, remit and report Part XIII non-resident income tax by providing digital access to non-resident tax information.",10412000,2025-03-31,8530-441-13-505,"April 25, 2022",43
cra,nrsdi,Non-Resident Source Deduction Identification,"Non-Resident Source Deduction Identification (NSRDI): The project will develop a new non-resident (NR) account identification framework that integrates with existing Agency identification platfor ms. It will also enable online registration for non-residents, improve the capture and storage of information related to their properties and representatives, and establish a holistic taxpayer view to mitigate the risk of revenue leakage between NR
 accounts and related accounts.",9389000,2019-03-31,8555-421-266,"June 9, 2016",15
cra,nrsdi,Non-Resident Source Deduction Identification,"Non-Resident Source Deduction Identification
Objective: to redefine the non-resident tax account identification process to establish and validate any existing relationship to a CRA identifier allowing the non-resident account to become part of the taxpayer entity's complete tax liability.",11589000,2020-03-31,8555-421-2460,"May 1, 2019",127
cra,nrtoifp,Non-Resident Trust & Offshore Investment Fund,Non-Resident Trust & Offshore Investment Fund Property (NRTs & OIFPs): To support the workload of the International and Large Business Investigative Branch (ILBIB). lncl des Linking Audit Results to Risks/Issues and Partnerships & Trusts and Foreign Reporting Requirements Management.,10300000,2017-03-31,8555-421-266,"June 9, 2016",39
cra,pay-system,Phoenix Pay System,"Pay Modernization: This Project is a government-wide initiative which will
 replace the 40 year old government's pay system with a modern, more
 efficient, and reliable system called Phoenix. The integration of the CRA's
 Corporate Administrative System (CAS) with Phoenix will enable the CRA to
 continue to manage its human resources and financial programs efficiently
 while continuing to support the government's goal to provide a modernized
 delivery of payroll.",13113000,2017-03-31,8555-421-266,"June 9, 2016",32
cra,psm,Physical Security Modernization,"Physical Security Modernization: The project will strengthen the physical security posture of the CRA sites to safeguard sensitive client information, assets, and protect personnel by upgrading/standardizing physical security systems and associated software products related to the Card Access System, Intrusion Detection System {IDS) (alarm monitoring), and Closed Circuit Television/Video {CCTV), implementing a centralized, integrated Physical Security Information Management (PSIM) solution and establishing centralized Security Operations Centres.",5411000,2019-03-31,8555-421-266,"June 9, 2016",16
cra,psm,Physical Security Modernization,"Physical Security Modernization
The objective this project is to update and replace the hardware components of the physical security system, and integrate all the hardware components on a centralized platforrn.",11515000,2021-03-31,8555-421-2460,"May 1, 2019",128
cra,,"Planning, Budgeting and Forecasting","Objective: The project plans to implement an integrated system architecture tool with the following components: Budgeting, Projections, Reporting, and Costing.",7757000,2023-03-31,8530-441-13-505,"April 25, 2022",60
cra,bpf,"Planning, Budgeting, and Forecasting","Planning, Budgeting and Forecasting: The project will implement an integrated resource management solution for Budgeting, Planning, and Forecasting.
  
 As of June 9, 2016, $96 of funding was committed for this proposal.",5000000,2019-03-31,8555-421-266,"June 9, 2016",44
cra,bpf,"Planning, Budgeting, and Forecasting","Planning, Budgeting and Forecasting
The objective of this project is to implement an integrated resource management $6.943 solution for Budgeting, Planning, and Forecasting.",6943000,2021-03-31,8555-421-2460,"May 1, 2019",129
cra,,PRIMUS,"Objective:  The objective of this project is to provide a mechanism to better reflect entity relationships concerning the high net-worth and large business populations by implementing advanced analytics to replace the Basic File Inventory Control System, enhancing the Integrated Risk Assessment System through the creation of new risk algorithms, and by developing business intelligence reporting tools.",11335000,2023-03-31,8530-441-13-505,"April 25, 2022",61
cra,primus,PRIMUS Integrated Risk Assessment System,"PRIMUS
Objective: to provide a mechanism to better reflect entity relationships concerning the high net-worth and large business populations by implementing advanced analytics to replace the Basic File Inventory Control System, enhancing the Integrated Risk Assessment System through the creation of new risk algorithms, and by developing business intelligence reporting tools.",11335000,2022-03-31,8555-421-2460,"May 1, 2019",130
cra,,Progress Tracker,"Objective: The objective of this project is to develop a personalized, interactive online tracking service within the CRA secure portals that will notify registrants on progress and status of their file from receipt to completion.",10996000,2023-03-31,8530-441-13-505,"April 25, 2022",62
cra,,Quantum 2.0,"Objective: The project will modernize the CRA’s risk assessment systems to better detect and prevent the payout of unwarranted and fraudulent GST/HST refunds and rebates by responding quickly to changes in the environment, while at the same time improving service to compliant businesses.",71903000,2027-03-31,8530-441-13-505,"April 25, 2022",33
cra,quantum,Quantum Risk Analysis Solution,"Quantum
Objective: to develop an advanced technology-based solution that will: utilize advanced
identity and relationship resolution software to explore intricate webs of relationships
that form a network of interest; integrate external and internal data in ways that have never been done before; and provide HQ business researchers and analysts the
capability to quickly create new, or modify existing, risk algorithms.",14163000,2020-03-31,8555-421-2460,"May 1, 2019",131
cra,,Registered Plans Application Suite Portal Access,Objective: The intent of this project is to connect the Registered Plans Application Suite (RPAS) system to a secure online portal to enable full electronic service delivery for registered plans in Canada.,16168000,2027-03-31,8530-441-13-505,"April 25, 2022",34
cra,ram,Rulings and Agreements Modernization,"Rulings and Agreements Modernization
Objective: to provide the Agency with a modern and integrated system replacing the current aging system, local applications, and macros.",15380000,2023-03-31,8555-421-2460,"May 1, 2019",120
cra,,Scientific Research and Experimental Development (SR&ED) Client Portal,"Objective: The intent of this project is to develop a client portal to improve Canadians' accesses to the SR&ED tools, services, and resources, as well as develop tools, processes and procedures to integrate the use of the Client Portal in the delivery of the program.",10000000,2024-03-31,8530-441-13-505,"April 25, 2022",35
cra,,Seamless Service Experience: Web Optimization,"Objective: The objective of this project is to accelerate the optimization of web content and features by improving top task information, search results, and overall site performance, and making content easier to understand. The project will also modernize the platform by implementing a Drupal open source content management system in the cloud.",26798000,2026-03-31,8530-441-13-505,"April 25, 2022",63
cra,,Secure Data Channel,"Objective: The objective of this project is to develop a solution for the secure two-way communication between CRA and businesses, the digitization of inbound faxes, and a secure drop-zone for one-time transmission.",16571000,2025-03-31,8530-441-13-505,"April 25, 2022",64
cra,,Secure Portals Re-engineering,"Objective: The objective of the project is to create a sustainable, usable portal model which is flexible enough to maintain current capabilities while accommodating future growth, technological advancements.",52848000,2025-03-31,8530-441-13-505,"April 25, 2022",65
cra,spr,Secure Portals Reengineering,"Secure Portals Reengineering Phase 1: The Secure Portal Reengineering project aims to create a single secure and authenticated digital service space inclusive of all CRA branches and programs that will function as the centralized hub of secure online services for the Agency.
  
 As of June 9, 2016, $1,527 of funding was committed for this proposal.",10500000,2020-03-31,8555-421-266,"June 9, 2016",45
cra,spr,Secure Portals Reengineering,"Secure Portals Reengineering
Objective: to create a sustainable, usable portal model which is flexible enough to maintain current capabilities while accommodating future growth, technological advancements, an evolving user base, and integrated horizontal transactions.",43995000,2023-03-31,8555-421-2460,"May 1, 2019",143
cra,,Security Sustainability Programme - Privileged Account Management,"Objective:  Implement a solution to control and secure privileged access within the Agency. The existing administration processes and procedures are insufficient and time-consuming. The PAM solution will mitigate the general risks of unauthorized access to sensitive systems, and the particular risk of unauthorized access and/or misuse of access to systems by privileged users, or malicious software impersonating privileged users.",17072000,2024-03-31,8530-441-13-505,"April 25, 2022",69
cra,sss,Session Sharing Software for CRA Portals,"Session Sharing Software (SSS): This project and tool will support the CRA
 portals and enhance that taxpayer experience allowing them to directly
 navigate between portal functions.",2414000,2017-03-31,8555-421-266,"June 9, 2016",33
cra,sd,Submit Documents,"Submit Documents: The Submit Documents service enables taxpayers and authorized representatives to have a secure method to transmit supporting documentation electronically to the CRA through the applicable CRA secure online portal. The required information can be provided in a variety of formats and is linked to the applicable workload through a reference number provided on the CRA request for information. Using workload management systems, Agency staff can easily examine electronic submissions to determine if the information request has been satisfied or if further action is required on the taxpayer account",2686000,2017-03-31,8555-421-266,"June 9, 2016",35
cra,,T1 Adjustments Modernization,"Objective: The objective of this project is to enhance existing digital services responsible for T1 reassessment processing. This includes improving the Change My Return and ReFILE digital services, improving the risk model within the reassessment system, linking existing systems to facilitate data capturing, automating manual repetitive tasks, and allowing for the electronic submission of documents.",17674000,2024-03-31,8530-441-13-505,"April 25, 2022",44
cra,t1sr,T1 Systems Redesign,"Tl Systems Redesign (TlSR): TlSR will address IT sustainably risks associated
 with the Tl suite of systems. Tl systems will be modernized and tax returns
 will be processed using common, contemporary tools. The project will create
 a strong, flexible, and resilient foundation for the Tl Program that will
 position the Agency to achieve its longer term goals (i.e. to enhance the
 availability of e-services).",251000000,2020-03-31,8555-421-266,"June 9, 2016",36
cra,t1sr,T1 Systems Redesign,"T1 Systems Redesign
Objective: to ensure IT sustainability of the T1 System by providing flexible, sustainable, and secure business processes and systems. This project will also lay the foundation for the Agency's broader Individual and Benefit Recipient visions, and enable future enhancements of the taxpayer's filing experience, making it easier to comply with their obligations.
This project is managed as nine separate sub-projects (A through I); each with a separate planning and execution schedule.",251000000,2020-03-31,8555-421-2460,"May 1, 2019",132
cra,,T3 Modernization,"Objective: The objective of this project is allow the CRA to capture beneficial ownership information of trusts and manage a large volume of returns per new requirements introduced in Budget 2018. New solutions will be built for assessing, capturing the beneficial information, and the online service to register a trust. All of these components will be delivered within three releases.",104424000,2024-03-31,8530-441-13-505,"April 25, 2022",66
cra,t3m,T3 Modernization,"T3 Modernization
Objective: for certain trusts, to provide information about beneficial ownership and file an annual return where a requirement does not currently exist",95776000,2023-03-31,8555-421-2460,"May 1, 2019",144
cra,tsa-desktop,Taxpayer Services Agent Desktop,"Taxpayer Services Agent Desktop - Business
Objective: to enhance the current version of the Taxpayer Services Agent Desktop - Business to make it accessible to the visually impaired, consolidate multiple screens to faciHtate navigations and provide agents with access to the right information in a timely manner to ensure the highest quality accuracy, and efficiency for businesses.",5300000,2021-03-31,8555-421-2460,"May 1, 2019",145
cra,,Testing Data,Objective: The intent of the TDATA project is to establish expertise and to implement processes and tools to create desensitized test data that will support application testing.,10240000,2024-03-31,8530-441-13-505,"April 25, 2022",36
cra,wri,Web Renewal Initiative,"Web Renewal Initiative: This initiative will require the CRA to migrate its web
 presence to the new www.Canada.ca domain and decommission its current website (www.cra.gc.ca) by December 31, 2016.",7321000,2017-03-31,8555-421-266,"June 9, 2016",37
cra,,Workload Management,"Objective: The objective of this project is to create a fully integrated modern solution that offers a comprehensive client view, increased capabilities, and greater effectiveness in workload management for the debt management programs. The project will address issues such as duplication of effort, inability to leverage technological advances, and aging and unsustainable technology of current CVB systems. This project was originally planned as six separate sub-projects (1 through 3.3); each with a separate planning and execution schedule. However, Sub-Project 3.1 was interrupted due to the COVID-19 pandemic and the redeployment of its resources to economic measure workloads. The project is currently undergoing a re-prioritization exercise to address the shift in schedule.",134521000,,8530-441-13-505,"April 25, 2022",67
cra,wm,Workload Management,"Workload Management: The Collections and Verification Branch (CVB) requires new case and workload management systems in order to meet the strategic goals and objectives of the Government of Canada, the Agency, the CVB.
  
 As of June 9, 2016, $3,924 of funding was committed for this proposal.",72900000,2020-03-31,8555-421-266,"June 9, 2016",46
cra,wm,Workload Management,"Workload Management
Objective: to create a single, modem, agile solution to offer a comprehensive client view, increased capabilities, and greater effectiveness in workload management for the debt management programs.",123480000,2024-03-31,8555-421-2460,"May 1, 2019",133
csc,,Common Enterprise Desktop 5,"Build and deploy the updated iteration of a Common Enterprise Desktop for CSC/PBC/Office of the Correctional Investigator that addresses changing requirements for operating systems, office productivity software, internet browser and security configurations, and core software.",10500000,2023-06-30,8530-441-13-505,"April 25, 2022",387
csc,cmms,Computerized Maintenance Management System,"Computerized Maintenance Management System - Solution for the management of maintenance and work at all CSC facilities, including data collection, preventative maintenance, corrective maintenance and scheduling
 work orders,",2167000,2018-08-16,8555-421-266,"June 9, 2016",306
csc,corcan,CORCAN Solution,"CORGAN Solution - Automation of CORCAN's sales, marketing, and order manaqement processes.",1255367,2021-03-31,8555-421-2460,"May 1, 2019",370
csc,,Correctional Planning and Decisions,"Improve the efficiency and effectiveness of the correctional planning and case preparation processes, as well as enhanced reporting, access to offender information, and the ability to develop insights on offender correctional plans and progress against these plans.",6400000,2023-12-30,8530-441-13-505,"April 25, 2022",382
csc,,Data Foundation,Enable the OMS Modernization Project to be successful by preparing current OMS legacy systems for the transition to a new system. These activities will include preparing the OMS application and database for the future data conversion and improving the existing OMS Data Quality and Governance.,23700000,2023-03-31,8530-441-13-505,"April 25, 2022",372
csc,dr,Disaster Recovery,"Disaster Recovery (DR) - CSC invests in the procurement and configuration of the necessary infrastructure to strengthen its DR position and
 ensure that, in the event of a disaster, CSC is capable of activating its backup systems and maintaining its operations.",1903789,2022-03-31,8555-421-2460,"May 1, 2019",363
csc,,E-Discovery,"Facilitate the production of electronic documents in support of litigation and quasi-judicial processes (e.g. Production Orders, Inquiries, Discovery, Canada Labour Code).",6500000,2025-03-31,8530-441-13-505,"April 25, 2022",379
csc,e-discovery,e-Discovery Solution,"E-discovery - Facilitate the production of electronic documents in support of litigation and quasi-judicial processes (e.g. Production Orders, Inquiries, Discovery, Labour Code).",4339458,2021-03-31,8555-421-2460,"May 1, 2019",373
csc,emrp,Electronic Monitoring Research Pilot,Electronic Monitoring Research Pilot - CSC is expanding the use of Electronic Monitoring (EM) by conducting a second research pilot. EM devices will be procur d and used to surpervise offenders in the community.,5358426,2018-05-02,8555-421-266,"June 9, 2016",307
csc,engagement-portal,Engagement Portal,"Engagement Portal - This project will enhance engagement collaboration with partners and stakeholders including advisory groups, faith community reintegration organizations, volunteers, victims, municipal, provincial, territorial and international partners as well as all Canadians. The system will improve Performance Metrics for partnerships and collaboration across the EXCOM-approved engagement priority outcome areas.",2310002,2020-03-31,8555-421-2460,"May 1, 2019",374
csc,fms,Financial System Modernization,Financial System Modernization - 1. Modernize the financial system (Oracle-based) 2. Modernize the financial forecastinQ system.,21978557,2022-03-31,8555-421-2460,"May 1, 2019",366
csc,,Financial System Modernization to System Applications and Products,Replacement and modernization of the Departmental Financial Management System with the Government of Canada standard for Enterprise Resource Planning systems.,31100000,2025-03-31,8530-441-13-505,"April 25, 2022",375
csc,fsims,Food Services Information Management System,"Food Services Information Management System - Implementation of a COTS (Commercial-Off-The-Shelf) solution. Phase 1 will enable inventory control, recipes, menus, and production scheduling with the related inventory hardware (e.g. barcode scanners and printers). Phase II includes Point_ of
 Sale capabilities.",5946000,2017-01-27,8555-421-266,"June 9, 2016",308
csc,,Forms Modernization,Advance CSC's digital forms management maturity and implement a solution for end-to-end digital forms management processes.,4500000,2025-03-31,8530-441-13-505,"April 25, 2022",377
csc,forms,Forms Modernization,"Forms Modernization - Advance CSC's digital forms management maturity and implement an end to end digital forms management process
 solution.",7702920,2022-03-31,8555-421-2460,"May 1, 2019",369
csc,gcdocs,GCdocs,"GCDOCS Implementation - CSC will replace its record management system - foremo t with GCDOCs. This project will be rolled out to the existing Records Management users and expand to replace manual and non-standard record
 management software solutions across CSC.",4337898,2018-03-30,8555-421-266,"June 9, 2016",309
csc,gcdocs,GCdocs,"GCDOCS - A CSC-wide deployment of the Government of Canada standard GCDOCS platform as an Electronic Document and Records
 Management System (EDRMS) solution. This will provide a common solution for storage, management, retrieval, retention and disposition for documents and information of business value across CSC throuqhout their useful lifecycle.",11373838,2022-03-31,8555-421-2460,"May 1, 2019",364
csc,gcdocs-network,GCdocs Network Performance,GCDOCS - Network - Enhance the network performance for GCDOCS users.,1700000,2022-03-31,8555-421-2460,"May 1, 2019",372
csc,,GCDOCS Phase II,"A CSC-wide migration of information from various electronic sources to the previously implemented GCDOCS platform.  This will solidify common storage, management, retrieval, retention and disposition for documents and information of business value across CSC.",10800000,2023-07-31,8530-441-13-505,"April 25, 2022",373
csc,hrms-reporting,Human Resources Corporate Reporting System,"Human Resources Reporting on CSC Corporate Reporting System - Will migrate the Human Resources reporting from Human Resources Management System (HRMS) and Access Database to the Corportate
 ReoortinQ System (Microsoft's Business lntelliQence Reoortina Server).",1486187,2019-03-31,8555-421-266,"June 9, 2016",318
csc,hrms-pay-system,Human Resources Management System and Phoenix Pay System,"Human Resources Modernization - Human Resources Management System (HRMS); Scheduling and Deployment System (SDS) and Phoenix Integration - Will build around HRMS, SDS and Phoenix business, data exchange and integration functions required to be more effective, improve data quality,
 reduce rework and data caoture.",1074390,2017-03-31,8555-421-266,"June 9, 2016",316
csc,,Incident Investigations Case Management,"Facilitate the management and analysis of all serious incidents, which are handled by Boards of Investigation. Provide analysis to uncover trends and linkages surfaced by these investigations.",2400000,,8530-441-13-505,"April 25, 2022",378
csc,iicm,Incident Investigations Case Management,"Incident Investigations Case Management - Facilitates the management and analysis of all serious incidents, which are handled by Boards of lnvestiqation. Provides analyses to uncover trends and linkaqes surfaced by these investigations.",1711800,2021-03-31,8555-421-2460,"May 1, 2019",371
csc,,Interim Enterprise Resource Planning,"Integration of Non-Correctional Officer shift workers into the Scheduling and Deployment System (Nurses, Food Services and National Monitoring Center employees)",1500000,2022-06-15,8530-441-13-505,"April 25, 2022",374
csc,ierp,Interim Enterprise Resource Planning,"Interim Enterprise Resource Planning - Increasing the population on the Scheduling and Deployment System (Nurses, Food Services and
 National Monitoring Center).",3814497,2022-03-31,8555-421-2460,"May 1, 2019",365
csc,,Learning Management System,"Identification and implementation of a long-term software as a service for a Learning Management System that will track and maintain user training requirements and completions, as well as host learning content, while also integrating with current Human Resource Management systems.",3200000,2024-03-29,8530-441-13-505,"April 25, 2022",376
csc,lms,Learning Management System,"Learning Management System - Help to identify a long term solution to meet Learning and Development's needs with regards to implementing a modern
 leanina manaaement svstem at CSC.",4002100,2018-03-31,8555-421-266,"June 9, 2016",319
csc,lms,Learning Management System,Learning Management System - This initiative will help identify a long-term solution to meet Learning and Development needs with regard to implementinq a modern Leaminq Manaqement Svstem at CSC.,4250500,2022-03-31,8555-421-2460,"May 1, 2019",368
csc,mygchr,MyGCHR,"Human Resources Modernization - ""MyGCHR"" Adoption - onboard CSC and
 oartners onto MvGCHR.",4295444,2020-06-17,8555-421-266,"June 9, 2016",317
csc,,National Intercept Centre,Creation of the physical and Information Management/Information Technology infrastructure responsible for the streamlining and improvement of process requirements under the CSC National Intercept Program.,3400000,2022-07-29,8530-441-13-505,"April 25, 2022",384
csc,,Network Stabilization,Stabilization of current digital network through wide area network equipment upgrades to address overdue capacity demand and sustainment of ongoing activities to monitor and manage network traffic.,13400000,2027-03-31,8530-441-13-505,"April 25, 2022",386
csc,,Offender Health Information System - Electronic Medical Record (EMR/OSCAR),Open Source Clinical Application Resource (OSCAR) project that covers the implementation of an electronic medical records system and focuses on implementing lab results interfaces to import lab test results directly into the application.,10100000,2023-03-31,8530-441-13-505,"April 25, 2022",371
csc,,Offender Health Information System - Electronic Medication Administration Record,System that will provide a national solution to support the professional and legal responsibilities of Health Services staff in documenting when a medication is administered to a patient.,5700000,2024-03-13,8530-441-13-505,"April 25, 2022",369
csc,,Offender Health Information System - Regional Pharmacy Management Solution,Implement a consistent industry leading Pharmacy Management Solution with standardized management of medication dispensing and inventory control. Urgent initiative to replace legacy pharmacy systems.,2200000,2023-03-31,8530-441-13-505,"April 25, 2022",370
csc,emar,Offender Health Information System Electronic Medication Administration Record,Offender Health Information System - Electronic Medication Administration Record (EMAR) System - System that will provide a national solution to support the nursing staff to meet their professional and legal responsibilities in documenting when a medication is administered to a patient.,4825030,2022-03-31,8555-421-2460,"May 1, 2019",358
csc,ohis-oscar,Offender Health Information System Open Source Clinical Application Resource,"Offender Health lnform_ation System - Open Source Clinical Application Resource (OSCAR) - National implementation of an electronic medical record, which will be available at all CSC institutions, regional headquarters
 and National Headauarters.",1125168,2016-10-21,8555-421-266,"June 9, 2016",311
csc,ohis-oscar,Offender Health Information System Open Source Clinical Application Resource,"Offender Health Information System (OHIS) - Open Source Clinical Application Resource (OSCAR) - Support for testing of system updates, configuration updates and second level end user support.",7316874,2021-03-31,8555-421-2460,"May 1, 2019",360
csc,ohis-pharm,Offender Health Information System Regional Pharmacy Management Solution,"Offender Health Information System - PHARM -A bilingual National Pharmacy system that will include pharmacy management and inventory
 management as well as the l;lectronic Management Administration Record.",9494226,2017-11-29,8555-421-266,"June 9, 2016",312
csc,ohis-pharm,Offender Health Information System Regional Pharmacy Management Solution,Offender Management Health Information System - Implement a consistent industry leading Regional Pharmacy Management Solution (RPMS) with standardized management of medication dispensing and inventory control. Urgent initiative to replace legacy pharmacy systems.,7738291,2021-03-31,8555-421-2460,"May 1, 2019",359
csc,,Offender Management System (OMS) Modernization,Replace CSC’s OMS business processes and system onto a modern and supported platform.,77400000,2027-02-17,8530-441-13-505,"April 25, 2022",368
csc,omsm,Offender Management System Modernization,"Modernization of Offender Management System Migration (OMSM) Modules - This project will move all OMSM functionality to a newer, more cost effective and agile technology, Government of Canada's common shared case
 manaaement solution and Microsoft Dynamics CRM (SCMS).",10219000,2018-07-05,8555-421-266,"June 9, 2016",310
csc,omsm,Offender Management System Modernization,"Offender Management System Modernization (OMSM) - Offender Management System (OMS) Modernization project - Replace CSC's ""Offender Manaqement System"" business processes and system onto a modern and supported platform.",108675140,2027-03-31,8555-421-2460,"May 1, 2019",357
csc,omsr,Offender Management System Renewal,"OMS - A long term overall project composed of evolving the legacy OMSM and Offender Management System Renewal (OMSR).
 Modules: Offender Accommodation Management, Structured Intervention Unit, Statement of Observation Report, Offender Count, Sentence Calculator and OMS Lonq Term Evolution.",14901920,2022-03-31,8555-421-2460,"May 1, 2019",361
csc,omsr-transition,Offender Management System Renewal Legacy Transition,"Data Foundation - Enable the OMS Project to be successful by preparing current OMS legacy systems for the transition to a new system. These
 activities will include preparing the OMSM application and database for the future data conversion and improving the existing OMSM Data Quality and Governance.",17961688,2022-03-31,8555-421-2460,"May 1, 2019",362
csc,,Pardons and Records Suspension System Renewal (for Parole Board of Canada (PBC)),"Modernize and improve the current end-of-life system, including addition of a public facing portal to allow the online submission of record suspension applications and supporting documents.",2900000,2024-03-31,8530-441-13-505,"April 25, 2022",367
csc,pos,Point of Sale (POS) System Modernization,"Point of Sale (POS) System Modernization - Will provide a POS system which is supportable from a technical and functional perspective. The purpose of Inmate Owned Canteens is to allow inmates to purchase items sold through an inmate owned canteen operation, run according to generally. accepted business practice and, to the fullest extent possible, by inmates.",2548500,2017-09-19,8555-421-266,"June 9, 2016",313
csc,pos,Point of Sale (POS) System Modernization,"Point of Sale (POS) - Provision of a new POS System to support the Inmate Owned Canteens. The new solution will replace the existing POS
 system that is written in now de-supported programming language; in addition, the new solution will provide new functionalities such as centralization, controls, and reportino in order to effectively suooort the Inmate Owned Canteens program.",2651854,2020-03-31,8555-421-2460,"May 1, 2019",367
csc,,Resource Allocation Tool/Resource Management Tool Modernization,Interim solution to bridge end-of-life current application through full implementation of the Departmental Financial Management Solution.,7500000,2023-11-27,8530-441-13-505,"April 25, 2022",381
csc,sap-migration,SAP Migration,"Integrated Financial and Materiel Management System (IFMMS) to SAP
 Miaration - Transition the IFMMS data from Oracle to SAP.",6600000,,8555-421-266,"June 9, 2016",320
csc,sharepoint,SharePoint,"Sharepoint - Deployment of Microsoft SharePoint 2016 + and SharePoint Support Structure (Building of Steering Committee, Governance Model and Technical Support).",3556450,2020-03-31,8555-421-2460,"May 1, 2019",375
csc,,Structured Intervention Units - National Deployment and WiFi,"Offender Management Solution add-on, created to meet reporting requirements of Structured Intervention Units across Canada. Involves the use of mobile technology and Wi-Fi for active reporting.",11300000,2022-09-30,8530-441-13-505,"April 25, 2022",383
csc,,Virtual Correctional Program Delivery,"Application to handle Correctional Program referrals and overrides, the creation and maintenance of the National Waitlist system for Programs and the National Correctional Program Schedule, as well as the incorporation of the Offender Assignment to Programs and follow-on reporting documentation. Will also incorporate an Offender Learning Management System for digital course participation.",5100000,2024-12-30,8530-441-13-505,"April 25, 2022",380
csc,windows-10,Windows 10 Replacement,"Windows 10 Deployment -will migrate the Common Enterprise Desktop Version 3 (Microsoft Windows version 7) and tablet devices (Microsoft
 Windows version 8.1) to Microsoft Wfndows version 10.",3805773,2019-03-29,8555-421-266,"June 9, 2016",314
